"","ID","SubOrder","Genus","Species","CommonName","SpName","SpCode","SpeciesID"
"87",87,"CETACEA","Pontoporia","blainvillei","Franciscana river dolphin","P bla","087","087"
"88",88,"CETACEA","Stenella","longirostris","Central American spinner dolphin","S lon","088","088"
"89",89,"CETACEA","Stenella","spp","Unidentified spotted dolphin-Atlantic","S spp","089","089"
"90",90,"CETACEA","Stenella","attenuata","Unidentified pantropical spotted dolphin","S att","090","090"
"91",91,"CETACEA","Stenella","frontalis","Atlantic spotted dolphin","S fro","091","091"
"92",92,"CETACEA","Platanista","gangetica","Ganges river dolphin","P gan","092","092"
"93",93,"CETACEA","Platanista","minor","Indus river dolphin","P min","093","093"
"94",94,"CETACEA","Inia","geoffrensis","Amazon river dolphin","I geo","094","094"
"95",95,"CETACEA","Lipotes","vexillifer","Baiji river dolphin","L vex","095","095"
"96",96,"CETACEA","Unid",NA,"Unidentified cetacean","Unid","096","096"
"97",97,NA,"Unid",NA,"Unidentified object, possible marine mammal","Unid","097","097"
"98",98,"CETACEA","Unid",NA,"Unidentified whale","Unid","098","098"
"99",99,"CETACEA","Balaenoptera","spp","Sei or Bryde's whale","B spp","099","099"
"100",100,"CETACEA","Stenella","longirostris","Tres Marias spinner dolphin","S lon","100","100"
"101",101,"CETACEA","Stenella","longirostris","Southwestern spinner dolphin","S lon","101","101"
"102",102,"CETACEA","Stenella","longirostris","Gray's spinner dolphin, pantropical spinner","S lon","102","102"
"103",103,"CETACEA","Stenella","longirostris","Unk. Eastern or Central American spinner dolphin","S lon","103","103"
"104",104,"CETACEA","Balaenoptera","bonaerensis","Antarctic minke whale","B bon","104","104"
"105",105,"CETACEA","Tursiops","aduncus","Indian Ocean bottlenose dolphin","T adu","105","105"
"106",106,"CETACEA","Mesoplodon","traversii","Spade-toothed beaked whale","M tra","106","106"
"107",107,"CETACEA","Stenella","longirostris","Dwarf spinner dolphin","S lon","107","107"
"108",108,"CETACEA","Eubalaena","glacialis","North Atlantic right whale","E gla","108","108"
"109",109,"CETACEA","Mesoplodon","perrini","Perrin's beaked whale","M pni","109","109"
"110",110,"CETACEA","Orcinus","orca","Transient killer whale","O orc","110","110"
"111",111,"CETACEA","Orcinus","orca","Resident killer whale","O orc","111","111"
"112",112,"CETACEA","Orcinus","orca","Offshore killer whale","O orc","112","112"
"113",113,"CETACEA","Orcinus","orca","Type A Antarctic killer whale","O orc","113","113"
"114",114,"CETACEA","Orcinus","orca","Type B Antarctic killer whale","O orc","114","114"
"115",115,"CETACEA","Orcinus","orca","Type C Antarctic killer whale","O orc","115","115"
"116",116,"CETACEA","Unid",NA,"Unidentified small delphinid (e.g., Delphinus, Lagenorhynchus, Lissodelphis, or Stenella)","Unid","177","177"
"117",117,"CETACEA","Unid",NA,"Unidentified medium delphinid (e.g., Feresa, Grampus, Steno or Tursiops)","Unid","277","277"
"118",118,"CETACEA","Unid",NA,"Unidentified large delphinid (e.g., Pseudorca, Orcinus,Globicephala)","Unid","377","377"
"119",119,"CETACEA","Unid",NA,"Unidentified porpoise (e.g., Phocoena or Phocoenoides)","Unid","477","477"
