ID,Specimen,CollectionID,AccessionNumber,EditDate,EditUser,RecordCreationDate
1654,PCS0034,2,054964,2017-11-07 14:01:25.867,NA,2017-11-07 14:01:25.867
1655,PCS0032,2,054963,2017-11-07 14:01:26.09,NA,2017-11-07 14:01:26.09
1656,JWG0037,2,054877,2017-11-07 14:01:26.313,NA,2017-11-07 14:01:26.313
1657,RDS0008,2,054974,2017-11-07 14:01:26.537,NA,2017-11-07 14:01:26.537
1658,BXR0288,2,091823,2017-11-07 14:01:26.757,NA,2017-11-07 14:01:26.757
1659,BXR0277,2,091812,2017-11-07 14:01:26.983,NA,2017-11-07 14:01:26.983
1660,BXR0278,2,091813,2017-11-07 14:01:27.217,NA,2017-11-07 14:01:27.217
1661,BXR0279,2,091814,2017-11-07 14:01:27.437,NA,2017-11-07 14:01:27.437
1662,BXR0280,2,091815,2017-11-07 14:01:27.66,NA,2017-11-07 14:01:27.66
1663,BXR0281,2,091816,2017-11-07 14:01:27.883,NA,2017-11-07 14:01:27.883
1664,BXR0282,2,091817,2017-11-07 14:01:28.103,NA,2017-11-07 14:01:28.103
1665,BXR0283,2,091818,2017-11-07 14:01:28.333,NA,2017-11-07 14:01:28.333
1666,BXR0284,2,091819,2017-11-07 14:01:28.553,NA,2017-11-07 14:01:28.553
1667,BXR0285,2,091820,2017-11-07 14:01:28.777,NA,2017-11-07 14:01:28.777
1668,BXR0298,2,091833,2017-11-07 14:01:28.997,NA,2017-11-07 14:01:28.997
1669,BXR0287,2,091822,2017-11-07 14:01:29.23,NA,2017-11-07 14:01:29.23
1670,BXR0274,2,091809,2017-11-07 14:01:29.45,NA,2017-11-07 14:01:29.45
1671,BXR0289,2,091824,2017-11-07 14:01:29.677,NA,2017-11-07 14:01:29.677
1672,BXR0290,2,091825,2017-11-07 14:01:29.897,NA,2017-11-07 14:01:29.897
1673,BXR0291,2,091826,2017-11-07 14:01:30.13,NA,2017-11-07 14:01:30.13
1674,BXR0292,2,091827,2017-11-07 14:01:30.353,NA,2017-11-07 14:01:30.353
1675,BXR0293,2,091828,2017-11-07 14:01:30.58,NA,2017-11-07 14:01:30.58
1676,BXR0294,2,091829,2017-11-07 14:01:30.8,NA,2017-11-07 14:01:30.8
