ID,Specimen,Age,IsAnalysisQuality,EstimationMethod,AgeReader1,ReaderID1,AgeReader2,ReaderID2,AgeReader3,ReaderID3,AgeReader4,ReaderID4,EditDate,EditUser,RecordCreationDate
11863,TCF0032,13.6,Y,NA,13.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11864,TCF0033,1.1,Y,Mean                ,1.2,6,1,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11865,TCF0034,6.25,Y,Mean: ReaderID_1 & 2,5,6,7.5,9,9.9,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11866,TCF0035,10.8,Y,NA,10.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11867,TCF0036,13.9,Y,NA,13.9,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11868,TCF0037,12.7,Y,NA,12.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11869,TCF0038,13.7,Y,NA,13.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11870,TCF0039,16.75,Y,Mean: ReaderID_1 & 2,18.5,6,15,18,11.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11871,TCF0047,9.7,Y,NA,9.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11872,TCF0048,6.9,Y,NA,6.9,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11873,TCF0049,3.5,Y,Mean: ReaderID_1 & 2,4,6,3,9,8.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11874,TCF0050,13.1,Y,NA,13.1,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11875,TCF0051,10.9,Y,NA,10.9,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11876,TCF0054,9.7,Y,NA,9.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11877,TCF0055,13.8,Y,NA,13.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11878,TCF0056,6.6,Y,NA,6.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11879,TCF0057,26.67,Y,Mean: ReaderID_1 & 2,33,6,20.33,18,15.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11880,TCF0058,1.8125,Y,NA,2,25,1.625,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-22 11:02:42.783
11881,TCF0059,8,Y,Mean: ReaderID_1    ,8,6,6.7,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11882,TCF0065,19.85,Y,Mean                ,23.2,6,16.5,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11883,TCF0066,11.5,Y,Mean                ,12,6,11,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11884,TCF0069,22.5,Y,Mean                ,24,6,21,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
